id,title,original_title,release_date,budget
41978,High Security Vacation,Каникулы строгого режима,8/25/2009,5000000
42078,Elf Bowling the Movie,Elf Bowling the Movie,10/2/2007,6500000
42149,The Hand,The Hand,4/24/1981,6500000
42194,TEKKEN,TEKKEN,3/20/2010,30000000
42241,Sebastiane,Sebastiane,12/17/1976,45000
42347,For Queen & Country,For Queen & Country,5/17/1988,191051
42481,The Goalie's Anxiety at the Penalty Kick,Die Angst des Tormanns beim Elfmeter,2/19/1972,410000
42603,Valentino,Valentino,9/7/1977,5000000
42870,Creatures from the Abyss,Plankton,1/1/1994,250000
42910,Lord Save Us,"Lord, Save Us from Your Followers",6/13/2008,980000
42949,Arthur 3: The War of the Two Worlds,Arthur 3: la guerre des deux mondes,8/22/2010,70200000
42952,72 Meters,72 метра,2/12/2004,1600000
42966,Once Upon a Time in Mumbaai,Once Upon a Time in Mumbaai,7/30/2010,10
42971,Mrs. Ashboro's Cat,Mrs. Ashboro's Cat,1/1/2003,2800000
43045,The Hypnotic Eye,The Hypnotic Eye,2/27/1960,365000
43083,This is Sodom,Zohi Sdom,8/5/2010,2745000
43089,Roadgames,Roadgames,6/26/1981,1750000
43090,Gunless,Gunless,4/30/2010,10000000
43149,The Son of Kong,The Son of Kong,12/22/1933,250000
43228,I Was a Teenage Werewolf,I Was a Teenage Werewolf,6/19/1957,82000
43417,The Magnificent Seven Ride!,The Magnificent Seven Ride!,8/1/1972,3000000
43432,Roma,Roma,4/15/2004,2763806
43434,Carlos,Carlos,5/19/2010,18000000
43593,Piranha 3D,Piranha 3D,8/20/2010,24000000
43619,Leaving,Partir,8/12/2009,7600000
43664,"The Bread, My Sweet","The Bread, My Sweet",4/21/2001,600000
43670,Stateside,Stateside,5/23/2004,16000000
43933,Monsters,Monsters,6/18/2010,500000
43935,Dylan Dog: Dead of Night,Dylan Dog: Dead of Night,3/16/2011,20000000
43942,Freakonomics,Freakonomics,10/1/2010,3000000
43987,No Mercy for the Rude,예의없는 것들,8/24/2006,3
44010,Logan,Logan,9/10/2010,135000
44037,Lake Placid 3,Lake Placid 3,8/21/2010,2500000
44046,Wicked,Wicked,1/17/1998,4000000
44113,Stone,Stone,10/7/2010,22000000
44133,Turning Point,变节,8/13/2009,1680000
44216,Downstream,Downstream,2/24/2010,1000000
44289,Octane,Octane,5/16/2003,11500000
44425,Dabangg,Dabangg,9/9/2010,9370000
44546,Lathe of Heaven,Lathe of Heaven,9/8/2002,500000
44549,PEEPLI [Live],PEEPLI [Live],8/13/2010,2270000
44646,The Last Seven,The Last Seven,8/24/2010,1850000
44673,The Matrimony,心中有鬼,2/8/2007,2500000
44695,The Born Losers,The Born Losers,8/18/1967,360000
44716,In a Better World,Hævnen,8/26/2010,15000000
44835,Hesher,Hesher,1/22/2010,7000000
44839,Юленька,Юленька,2/19/2009,5000000
44898,The Time That Remains,The Time That Remains,8/12/2009,6500000
44945,Trust,Trust,9/10/2010,9500000
44947,The King Is Dancing,Le roi danse,12/6/2000,21000000
44977,Dhoom 3,धूम ३,12/18/2013,19500000
44978,Golmaal 3,Golmaal 3,11/5/2010,10000000
45094,Conviction,Conviction,9/11/2010,12500000
45132,Super,Super,9/9/2010,2500000
45162,Superman/Batman: Apocalypse,Superman/Batman: Apocalypse,9/28/2010,3500000
45167,Pumzi,Pumzi,10/20/2009,35000
45593,Roman,Roman,7/7/2006,250000
45657,The Ward,The Ward,9/13/2010,10000000
45745,Sintel,Sintel,9/30/2010,550000
45779,Mindwarp,Mindwarp,5/25/1992,1000000
45961,Rosencrantz and Guildenstern Are Undead,Rosencrantz and Guildenstern Are Undead,1/19/2009,600000
46028,Puerto Escondido,Puerto Escondido,12/17/1992,110
46103,Born to Raise Hell,Born to Raise Hell,10/19/2010,10000000
46146,Troll Hunter,Trolljegeren,10/29/2010,3500000
46221,The Tunnel,The Tunnel,5/19/2011,135000
46342,Evilenko,Evilenko,4/16/2004,9700000
46364,Inseminoid,Inseminoid,1/23/1981,2000000
46429,Gallowwalkers,Gallowwalkers,10/27/2012,17000000
