id,title,original_title,release_date,budget
19,Metropolis,Metropolis,1/10/1927,92620000
24,Kill Bill: Vol. 1,Kill Bill: Vol. 1,10/10/2003,30000000
27,9 Songs,9 Songs,7/16/2004,1000000
63,Twelve Monkeys,Twelve Monkeys,12/29/1995,29500000
64,Talk to Her,Hable con ella,3/14/2002,9285469
68,Brazil,Brazil,2/20/1985,15000000
82,Miami Vice,Miami Vice,7/27/2006,135000000
83,Open Water,Open Water,8/6/2004,130000
85,Raiders of the Lost Ark,Raiders of the Lost Ark,6/12/1981,18000000
88,Dirty Dancing,Dirty Dancing,8/21/1987,6000000
89,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,5/24/1989,48000000
97,Tron,Tron,7/9/1982,17000000
101,Leon: The Professional,Léon,9/14/1994,16000000
107,Snatch,Snatch,9/1/2000,10000000
111,Scarface,Scarface,12/8/1983,25000000
115,The Big Lebowski,The Big Lebowski,3/6/1998,15000000
120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,12/18/2001,93000000
121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,12/18/2002,79000000
138,Dracula,Dracula,2/12/1931,355000
144,Wings of Desire,Der Himmel über Berlin,1/1/1987,2500000
149,Akira,アキラ,7/16/1988,8000000
154,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,6/3/1982,12000000
161,Ocean's Eleven,Ocean's Eleven,12/7/2001,85000000
167,K-PAX,K-PAX,10/22/2001,48000000
168,Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,11/25/1986,24000000
176,Saw,Saw,10/1/2004,1200000
189,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,8/20/2014,65000000
193,Star Trek: Generations,Star Trek: Generations,11/17/1994,38000000
199,Star Trek: First Contact,Star Trek: First Contact,11/21/1996,46000000
212,Arsenic and Old Lace,Arsenic and Old Lace,9/23/1944,1120175
213,North by Northwest,North by Northwest,7/7/1959,4000000
216,Ali: Fear Eats the Soul,Angst essen Seele auf,3/5/1974,130000
217,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,5/21/2008,185000000
229,Bride of Frankenstein,Bride of Frankenstein,4/21/1935,393750
235,Stand by Me,Stand by Me,8/22/1986,8000000
239,Some Like It Hot,Some Like It Hot,3/18/1959,2883848
242,The Godfather: Part III,The Godfather: Part III,12/24/1990,54000000
247,The Killing,The Killing,5/8/1956,320000
253,Live and Let Die,Live and Let Die,7/5/1973,7000000
266,Contempt,Le Mépris,10/21/1963,900000
273,The White Sound,Das weisse Rauschen,12/31/2001,250000
275,Fargo,Fargo,4/5/1996,7000000
279,Amadeus,Amadeus,10/26/1984,18000000
289,Casablanca,Casablanca,11/26/1942,878000
311,Once Upon a Time in America,Once Upon a Time in America,2/16/1984,30000000
316,Grill Point,Halbe Treppe,2/12/2002,600000
327,Brother,Brother,9/9/2000,12000000
338,"Good bye, Lenin!","Good bye, Lenin!",2/9/2003,4800000
344,"Bang, Boom, Bang",Bang Boom Bang - Ein todsicheres Ding,8/26/1999,2888030
393,Kill Bill: Vol. 2,Kill Bill: Vol. 2,4/16/2004,30000000
395,AVP: Alien vs. Predator,AVP: Alien vs. Predator,8/12/2004,70000000
400,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,12/1/1995,8000000
406,La Haine,La Haine,5/31/1995,3000000
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/7/2005,180000000
433,Mary Poppins,Mary Poppins,8/27/1964,6000000
440,Aliens vs Predator: Requiem,Aliens vs Predator: Requiem,12/25/2007,40000000
442,Popular Music,Populärmusik från Vittula,9/24/2004,2224000
452,The Idiots,Idioterne,4/28/1998,2500000
466,Klute,Klute,6/21/1971,2500000
483,Wild at Heart,Wild at Heart,5/1/1990,9500000
493,Shaft's Big Score!,Shaft's Big Score!,6/8/1972,1978000
503,Poseidon,Poseidon,5/12/2006,160000000
512,Scoop,Scoop,7/27/2006,4000000
533,The Curse of the Were-Rabbit,The Curse of the Were-Rabbit,9/4/2005,30000000
540,D.E.B.S.,D.E.B.S.,1/21/2004,3500000
546,Transamerica,Transamerica,12/23/2005,1000000
561,Constantine,Constantine,2/8/2005,100000000
564,The Mummy,The Mummy,4/16/1999,80000000
572,Next Door,Naboer,3/10/2005,2400000
573,Frenzy,Frenzy,5/25/1972,3500000
582,The Lives of Others,Das Leben der Anderen,3/15/2006,2000000
583,Life of Brian,Life of Brian,8/17/1979,4000000
586,Wag the Dog,Wag the Dog,12/25/1997,15000000
588,Silent Hill,Silent Hill,4/21/2006,50000000
590,The Hours,The Hours,12/27/2002,25000000
594,The Terminal,The Terminal,6/17/2004,60000000
598,City of God,Cidade de Deus,2/5/2002,3300000
601,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,4/3/1982,10500000
612,Munich,Munich,12/22/2005,70000000
618,The Birth of a Nation,The Birth of a Nation,2/8/1915,100000
628,Interview with the Vampire,Interview with the Vampire,11/11/1994,60000000
630,The Wizard of Oz,The Wizard of Oz,8/15/1939,2777000
633,Soldier of Orange,Soldaat van Oranje,9/22/1977,2300000
635,Angel Heart,Angel Heart,3/6/1987,17000000
636,THX 1138,THX 1138,3/11/1971,777000
651,M*A*S*H,M*A*S*H,1/24/1970,3500000
654,On the Waterfront,On the Waterfront,6/22/1954,910000
657,From Russia with Love,From Russia with Love,10/11/1963,2000000
663,Saw IV,Saw IV,10/25/2007,10000000
664,Twister,Twister,5/10/1996,92000000
671,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,11/16/2001,125000000
679,Aliens,Aliens,7/18/1986,18500000
682,The Man with the Golden Gun,The Man with the Golden Gun,12/1/1974,7000000
691,The Spy Who Loved Me,The Spy Who Loved Me,7/7/1977,14000000
707,A View to a Kill,A View to a Kill,5/24/1985,30000000
709,Licence to Kill,Licence to Kill,7/7/1989,32000000
710,GoldenEye,GoldenEye,11/16/1995,58000000
752,V for Vendetta,V for Vendetta,3/15/2006,54000000
753,Faces,Faces,11/24/1968,275000
756,Fantasia,Fantasia,11/13/1940,2280000
762,Monty Python and the Holy Grail,Monty Python and the Holy Grail,3/13/1975,400000
763,Braindead,Braindead,8/13/1992,3000000
766,Army of Darkness,Army of Darkness,10/9/1992,11000000
767,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,7/7/2009,250000000
776,The Rules of the Game,La Règle du jeu,6/8/1939,8847685
790,The Fog,The Fog,2/8/1980,1000000
807,Se7en,Se7en,9/22/1995,33000000
820,JFK,JFK,12/20/1991,40000000
824,Moulin Rouge!,Moulin Rouge!,3/9/2001,52500000
828,The Day the Earth Stood Still,The Day the Earth Stood Still,9/17/1951,1200000
834,Underworld: Evolution,Underworld: Evolution,1/12/2006,50000000
839,Duel,Duel,10/1/1972,450000
840,Close Encounters of the Third Kind,Close Encounters of the Third Kind,11/16/1977,20000000
847,Willow,Willow,5/1/1988,35000000
854,The Mask,The Mask,7/29/1994,23000000
857,Saving Private Ryan,Saving Private Ryan,7/24/1998,70000000
858,Sleepless in Seattle,Sleepless in Seattle,6/24/1993,21000000
901,City Lights,City Lights,1/30/1931,1500000
920,Cars,Cars,6/8/2006,120000000
