movie_id,genre_id
5,80
5,35
11,12
11,28
11,878
12,16
12,10751
13,35
13,18
13,10749
14,18
15,9648
15,18
16,18
16,80
16,10402
18,12
18,14
18,28
18,53
18,878
19,18
19,878
22,12
22,14
22,28
24,28
24,80
25,18
25,10752
26,18
27,18
27,10402
27,10749
28,18
28,10752
33,37
35,16
35,35
35,10751
38,878
38,18
38,10749
55,18
55,53
58,12
58,14
58,28
59,18
59,53
59,80
62,878
62,9648
62,12
63,878
63,53
63,9648
64,18
64,10749
65,18
66,80
66,18
66,53
68,35
68,878
69,18
69,10402
69,10749
70,18
71,18
71,35
71,10402
73,18
74,12
74,53
74,878
75,35
75,14
75,878
76,18
76,10749
77,9648
77,53
78,878
78,18
78,53
79,18
79,12
79,28
79,36
80,18
80,10749
81,12
81,16
81,14
82,28
82,12
82,80
82,53
83,18
83,53
85,12
85,28
86,18
86,10749
87,12
87,28
88,18
88,10402
88,10749
89,12
89,28
90,28
90,35
90,80
91,99
95,28
95,53
95,878
95,12
96,28
96,35
96,80
97,878
97,28
97,12
98,28
98,18
98,12
99,35
99,18
100,35
100,80
101,53
101,80
101,18
103,80
103,18
104,28
104,18
104,53
105,12
105,35
105,878
105,10751
106,878
106,28
106,12
106,53
107,53
107,80
111,28
111,80
111,18
111,53
114,10749
114,35
115,35
115,80
116,18
116,53
116,80
116,10749
117,80
117,18
117,36
117,53
118,12
118,35
118,10751
118,14
120,12
120,14
120,28
121,12
121,14
121,28
122,12
122,14
122,28
123,14
123,18
123,16
123,12
128,12
128,14
128,16
129,14
129,12
129,16
129,10751
134,28
134,12
134,35
137,10749
137,14
137,18
137,35
138,27
140,80
140,18
140,10749
140,53
141,14
141,18
141,9648
142,18
142,10749
143,18
143,10752
144,18
144,14
144,10749
146,12
146,18
146,28
146,10749
148,18
148,10749
149,878
149,16
150,53
150,28
150,35
150,80
150,18
152,878
152,12
152,9648
153,18
154,28
154,12
154,878
154,53
155,18
155,28
155,80
155,53
157,878
157,28
157,12
157,53
161,53
161,80
162,14
162,18
162,10749
163,53
163,80
164,35
164,18
164,10749
165,12
165,35
165,10751
165,878
167,18
167,878
168,878
168,12
169,878
169,28
169,53
170,27
170,53
170,878
172,878
172,28
172,12
172,53
173,12
173,18
173,878
174,878
174,28
174,12
174,53
176,27
176,9648
176,80
177,35
177,18
179,80
179,53
180,28
180,53
180,878
180,9648
182,10752
182,80
182,18
182,9648
182,10749
182,53
183,12
183,35
183,18
183,10751
183,10749
184,35
184,80
184,10749
185,878
185,18
186,18
186,53
186,80
186,9648
187,28
187,53
187,80
189,80
189,53
192,18
192,53
192,9648
193,878
193,28
193,12
193,53
194,35
194,10749
196,12
196,35
196,10751
196,878
197,28
197,18
197,36
197,10752
199,878
199,28
199,12
199,53
200,878
200,28
200,12
200,53
201,878
201,28
201,12
201,53
203,18
203,80
205,18
205,36
205,10752
207,18
212,35
212,80
213,9648
213,53
214,27
214,53
214,80
215,27
216,10749
216,18
217,12
217,28
218,28
218,53
218,878
219,35
219,18
219,10749
220,18
221,18
223,18
223,9648
226,80
226,18
227,80
227,18
229,27
229,878
231,18
231,53
232,28
232,12
232,80
232,18
232,10749
234,18
234,27
234,53
234,80
235,80
235,18
236,18
236,35
236,10749
237,18
237,53
237,80
237,10749
238,18
238,80
239,35
239,10749
240,18
240,80
241,80
241,53
241,18
242,80
242,18
242,53
243,35
243,18
243,10749
243,10402
244,28
244,12
244,18
244,27
245,18
245,35
245,10749
247,18
247,28
247,53
247,80
248,35
248,18
251,14
251,18
251,53
251,9648
251,10749
252,10751
252,14
253,12
253,28
253,53
254,12
254,18
254,28
255,35
255,18
255,10749
257,80
257,18
257,10751
261,18
261,10749
262,35
262,18
266,18
268,14
268,28
272,28
272,80
272,18
273,18
274,80
274,18
274,53
275,80
275,18
275,53
277,14
277,28
277,53
278,18
278,80
279,18
279,36
279,10402
280,28
280,53
280,878
281,80
281,18
281,878
281,53
284,35
284,18
284,10749
285,12
285,14
285,28
287,35
287,10749
288,37
289,18
289,10749
290,35
290,18
291,99
292,35
292,99
292,10402
294,18
294,10749
296,28
296,53
296,878
297,14
297,18
297,9648
298,80
298,53
300,35
300,18
300,14
302,53
302,80
303,53
303,18
303,10749
306,28
306,35
306,80
308,35
308,18
308,9648
308,10749
309,18
310,14
310,35
311,18
311,80
313,10749
313,18
314,28
314,80
315,28
315,80
316,35
316,18
318,18
318,53
319,28
319,53
319,80
319,10749
320,80
320,9648
320,53
321,35
321,10749
322,53
322,80
322,18
322,9648
326,28
326,80
326,27
326,53
327,80
327,18
327,53
329,12
329,878
330,12
330,28
330,878
331,12
331,28
331,53
331,878
332,28
332,12
332,35
332,10751
334,18
335,37
338,35
338,18
338,10749
339,35
339,18
340,35
340,18
342,35
342,18
343,35
343,18
343,10749
344,80
344,28
344,35
345,9648
345,18
346,28
346,18
348,27
348,28
348,53
348,878
350,35
350,18
350,10749
364,28
364,14
377,27
378,35
378,80
379,18
379,53
379,80
380,18
381,80
381,18
381,9648
381,10749
381,53
383,18
387,28
387,18
387,36
387,10752
387,12
388,80
388,18
388,53
389,18
391,37
392,35
392,18
392,10749
393,28
393,80
393,53
395,12
395,878
395,28
396,18
398,80
398,18
400,18
400,80
401,35
401,18
401,10749
402,53
402,9648
403,35
403,18
404,18
406,18
407,18
407,53
408,14
408,16
408,10751
409,18
409,10749
409,10752
411,12
411,10751
411,14
414,28
414,80
414,14
415,28
415,80
415,14
421,12
421,35
421,18
423,18
423,10752
424,18
424,36
424,10752
425,16
425,35
425,10751
425,12
426,9648
426,10749
426,53
429,37
430,35
430,10751
431,53
431,878
431,9648
433,35
433,10751
433,14
435,28
435,12
435,878
435,53
438,9648
438,878
438,53
440,14
440,28
440,878
440,53
440,27
441,18
441,35
442,35
442,18
451,18
451,10749
452,18
452,35
453,18
453,10749
454,18
454,10749
455,35
455,18
455,10749
462,18
466,9648
468,18
468,10749
470,18
470,80
470,53
473,9648
473,18
473,53
475,80
475,18
476,80
476,18
479,28
479,12
479,80
479,53
482,12
482,28
482,53
482,80
483,35
483,80
483,53
488,12
488,10752
488,10749
489,18
492,14
492,18
492,35
493,28
493,12
493,80
493,9648
494,12
494,28
494,53
494,80
494,9648
496,35
497,14
497,18
497,80
500,80
500,53
503,12
503,28
503,18
503,53
504,80
504,18
505,80
505,18
506,80
506,18
506,9648
506,53
507,28
507,80
507,18
507,53
508,35
508,10749
508,18
509,10749
509,35
509,18
510,18
512,35
512,9648
521,80
521,9648
521,53
522,35
522,18
522,36
524,18
524,80
525,10402
525,35
525,28
525,80
526,12
526,18
526,14
526,10749
533,12
533,16
533,35
533,10751
534,28
534,878
534,53
535,18
535,10402
535,10749
539,18
539,27
539,53
540,28
542,18
542,10749
544,10749
544,35
546,18
547,18
547,10749
548,80
548,18
548,9648
549,18
549,36
550,18
551,28
551,12
553,80
553,18
553,53
557,14
557,28
558,28
558,12
558,14
559,14
559,28
559,12
561,18
561,14
561,27
562,28
562,53
563,12
563,28
563,53
563,878
564,12
564,28
564,14
565,27
565,9648
567,18
567,9648
567,53
568,18
571,27
572,27
572,9648
572,53
573,80
573,18
573,9648
573,53
574,12
574,80
574,18
574,9648
574,53
576,12
576,37
577,14
577,18
577,35
577,53
578,27
578,53
578,12
579,27
579,53
580,12
580,53
581,12
581,18
581,37
582,18
582,53
583,35
584,28
584,80
584,53
585,16
585,35
585,10751
586,35
586,18
587,12
587,14
587,18
588,27
588,9648
590,18
591,53
591,9648
592,80
592,18
592,9648
594,35
594,18
595,80
595,18
596,18
597,18
597,10749
597,53
598,18
598,80
599,18
600,18
600,10752
601,878
601,12
601,10751
601,14
602,28
602,12
602,878
603,28
603,878
604,12
604,28
604,53
604,878
605,12
605,28
605,53
605,878
606,18
607,28
607,12
607,35
607,878
608,28
608,12
608,35
608,878
609,27
612,18
612,28
612,36
