movie_id,amazon_title,rating,amazon_link
5,Four Rooms,4.2 out of 5 stars,www.amazon.com/Four-Rooms-Tim-Roth/dp/6305327041/ref=sr_1_1?dchild=1&keywords=dvd+movie+%22Four+Rooms%22&qid=1590983792&sr=8-1
11,Star Wars: A New Hope,4.6 out of 5 stars,www.amazon.com/Star-Wars-Hope-Mark-Hamill/dp/B00VN0DLRA/ref=sr_1_4?dchild=1&keywords=dvd+movie+%22Star+Wars%22+1977&qid=1590983796&sr=8-4
12,Finding Nemo,4.8 out of 5 stars,www.amazon.com/Finding-Nemo-Albert-Brooks/dp/B00BG0RSJ4/ref=sr_1_3?dchild=1&keywords=dvd+movie+%22Finding+Nemo%22&qid=1590983798&sr=8-3
13,Forrest Gump,4.8 out of 5 stars,www.amazon.com/Forrest-Gump-Howard-Gersh/dp/B01MFASCJO/ref=sr_1_1?dchild=1&keywords=dvd+movie+%22Forrest+Gump%22&qid=1590983801&sr=8-1
14,American Beauty,4.2 out of 5 stars,www.amazon.com/American-Beauty-Kevin-Spacey/dp/B001F4UHEE/ref=sr_1_5?dchild=1&keywords=dvd+movie+%22American+Beauty%22&qid=1590983803&sr=8-5
15,Citizen Kane,4.2 out of 5 stars,www.amazon.com/Citizen-Kane-Orson-Welles/dp/B00GJBCMB4/ref=sr_1_1?dchild=1&keywords=dvd+movie+%22Citizen+Kane%22&qid=1590983805&sr=8-1
16,Dancer in the Dark,4.4 out of 5 stars,www.amazon.com/Dancer-Dark-Bj%C3%B6rk/dp/B00003CXKS/ref=sr_1_2?dchild=1&keywords=dvd+movie+%22Dancer+in+the+Dark%22&qid=1590983807&sr=8-2
18,The Fifth Element,4.7 out of 5 stars,www.amazon.com/Fifth-Element-5th/dp/0800195175/ref=sr_1_4?dchild=1&keywords=dvd+movie+%22The+Fifth+Element%22&qid=1590983810&sr=8-4
22,Pirates of the Caribbean: The Curse of the Black Pearl,4.7 out of 5 stars,www.amazon.com/Pirates-Caribbean-Curse-Black-Pearl/dp/B0000C6DWS/ref=sr_1_6?dchild=1&keywords=dvd+movie+%22Pirates+of+the+Caribbean%3A+The+Curse+of+the+Black+Pearl%22+2003&qid=1590983819&sr=8-6
25,Jarhead,4.5 out of 5 stars,www.amazon.com/Jarhead-Jake-Gyllenhaal/dp/B000I9WVY6/ref=sr_1_10?dchild=1&keywords=dvd+movie+%22Jarhead%22&qid=1590983826&sr=8-10
26,Walk on Water,4.2 out of 5 stars,www.amazon.com/Walk-Water-Lior-Ashkenazi/dp/B0009YVBGO/ref=sr_1_2?dchild=1&keywords=dvd+movie+%22Walk+on+Water%22&qid=1590983828&sr=8-2
28,Apocalypse Now,4.5 out of 5 stars,www.amazon.com/Apocalypse-Now-Marlon-Brando/dp/B0045INOCO/ref=sr_1_8?dchild=1&keywords=dvd+movie+%22Apocalypse+Now%22&qid=1590983835&sr=8-8
33,Unforgiven,4.6 out of 5 stars,www.amazon.com/Unforgiven-David-Valdes/dp/B003AWRMCE/ref=sr_1_7?dchild=1&keywords=dvd+movie+%22Unforgiven%22&qid=1590983837&sr=8-7
